OTU,pf3-t0,pf7-t0,pf13-t0,pf14-t0,pf34-t0,pf3-aerobic-9d,pf7-aerobic-9d,pf13-aerobic-9d,pf14-aerobic-9d,pf34-aerobic-9d,pf3-anaerobic-9d,pf7-anaerobic-9d,pf13-anaerobic-9d,pf14-anaerobic-9d,pf34-anaerobic-9d,pf3-aerobic-94d,pf7-aerobic-94d,pf13-aerobic-94d,pf14-aerobic-94d,pf34-aerobic-94d,pf3-anaerobic-94d,pf7-anaerobic-94d,pf13-anaerobic-94d,pf14-anaerobic-94d,pf34-anaerobic-94d
OTU_8,2063,1047,5170,9997,3121,4576,7920,8187,9198,8034,2.51E+04,2674,1490,1738,1646,729,278,1287,724,1360,3356,2376,3878,1968,699
OTU_7,2019,1767,3123,1.37E+04,5270,4224,7422,6926,9841,9239,1.63E+04,3071,859,1582,2895,411,170,624,528,924,3439,2168,1750,1557,451
OTU_10,724,1207,2233,7382,3095,2123,7517,6913,7324,6685,1.17E+04,2393,669,1262,1536,244,258,418,339,754,1836,2098,1651,920,1283
OTU_1,29,203,455,362,2753,30,1088,1258,233,9299,186,398,137,62,1318,9523,6472,1.06E+04,1.32E+04,1.21E+04,57,288,259,55,918
OTU_11,688,2029,1998,6749,1897,1680,7347,3393,8758,4478,4976,3105,523,1733,1491,264,207,312,462,337,1347,1560,1231,1406,640
OTU_9,543,845,2481,6420,1525,1171,3335,4238,6234,4981,6815,1191,759,1007,1119,104,107,416,276,448,1324,1039,1659,1069,894
OTU_12,154,279,1476,2111,1020,288,1133,2657,2750,5836,1064,455,348,414,836,252,74,404,465,805,228,212,948,260,512
OTU_17,153,91,83,8323,160,263,446,257,8397,423,2400,140,20,1249,104,63,12,16,476,34,246,80,61,1061,72
OTU_18,846,1429,298,2676,193,989,2452,377,2461,629,4067,1784,90,656,255,149,87,43,130,68,1461,1174,218,544,94
OTU_35,131,53,296,497,3118,339,182,683,327,4806,1540,78,83,112,1590,999,134,1793,1531,1660,533,207,611,239,769
OTU_19,575,901,394,3038,275,811,1940,683,3964,1028,2656,1115,111,737,284,149,55,61,125,70,897,567,349,469,88
OTU_15,76,344,541,4480,632,78,1251,1151,4097,1696,572,555,163,835,424,13,15,47,134,142,94,451,382,600,144
OTU_55,168,164,363,2081,1215,425,1202,1211,2193,2089,2538,341,122,386,471,58,46,63,119,296,353,263,245,264,373
OTU_20,184,654,793,2901,191,189,1256,1032,2617,1439,981,968,294,720,389,24,41,106,131,95,175,556,555,439,243
OTU_28,388,471,555,1354,263,486,1501,1056,1456,779,3893,654,155,279,176,85,38,73,58,56,595,398,314,168,110
OTU_21,128,367,588,2433,978,312,1277,1081,2068,1358,951,563,131,458,495,29,48,103,149,194,238,436,315,490,60
OTU_24,197,188,413,2210,337,352,1117,1022,3118,962,1488,305,90,380,169,88,19,50,88,63,263,122,305,216,116
OTU_23,203,156,159,3374,400,258,514,398,2623,1029,1418,258,80,537,249,39,13,26,117,85,389,180,152,532,174
OTU_39,408,440,320,2098,241,436,1303,529,1958,649,2020,683,72,367,133,76,18,34,71,56,503,329,184,278,98
