Rank1	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU41	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU1326	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU229	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	?
OTU594	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	Clostridiales bacterium CIEAF 012
OTU3435	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	?
OTU131	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	?
OTU46	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-001	?
OTU1938	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU129	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	?
OTU108	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	?
OTU200	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU141	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU79	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU89	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	?
OTU326	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	?
OTU2054	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	?
OTU22	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU1949	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	?
OTU286	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	?
OTU2126	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU117	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU97	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-008	?
OTU187	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-001	?
OTU449	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-001	uncultured Clostridiales bacterium
OTU78	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-001	?
OTU4117	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-001	uncultured organism
OTU49	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU403	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	?
OTU1017	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU148	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	?
OTU37	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	?
OTU125	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	?
OTU154	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-001	?
OTU547	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU1371	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	?
OTU85	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum	?
OTU1820	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus 3	?
OTU121	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU172	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU239	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU224	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU138	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-006	?
OTU2924	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-006	?
OTU75	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU24	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	?
OTU521	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	?
OTU933	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	?
OTU892	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-006	?
OTU55	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-006	Lachnospiraceae bacterium M18-1
OTU1364	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-006	?
OTU96	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-006	?
OTU281	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	?
OTU268	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] ventriosum group	uncultured Clostridiales bacterium
OTU175	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU381	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	?
OTU1095	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] oxidoreducens group	?
OTU40	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU15	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU3499	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU10	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU1307	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU1778	Bacteria	?	?	?	?	?	?
OTU2292	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	uncultured Clostridiales bacterium
OTU487	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU7	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU87	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU84	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
