# Constructed from biom file
OTU ID	D3NPNeg	E3NPNeg	BBeads	F1PNeg	B3PBulk	D2PPos	D2NPBulk	CBeads	F2PNeg	F2NPNeg	C3PNeg	C1PPos	B1PNeg	C1PNeg	F1PBulk	C1NPBulk	BControl	FBeads	B1PBulk	D1PNeg	B3NPPos	D2NPNeg	D3PNeg	F1NPPos	C3NPNeg	EControl	B1PPos	F3NPPos	E2NPPos	F1NPNeg	B2NPNeg	C1PBulk	D1NPBulk	B2NPBulk	E3PBulk	B2PPos	F3NPBulk	C1NPNeg	D2NPPos	E3PPos	F3PNeg	F3NPNeg	F2NPPos	D1NPPos	B3NPNeg	EBeads	C1NPPos	E1PPos	E3NPPos	E1NPPos	E2PNeg	C3NPBulk	E3PNeg	D3NPPos	E1PNeg	B3NPBulk	F1NPBulk	B2NPPos	D2PNeg	E1PBulk	FControl	F2PPos	D1NPNeg	DBeads	D1PBulk	E3NPBulk	F2NPBulk	D3PPos	F1PPos	D1PPos	B1NPPos	B3PNeg	E2NPBulk	E1NPBulk	E2PPos	F3PPos	B1NPNeg	F3PBulk	B2PBulk	D3NPBulk	B2PNeg
OTU1	8.0	22.0	0.0	716.0	368.0	292.0	455.0	2.0	595.0	119.0	5.0	7.0	44467.0	25.0	5291.0	2.0	0.0	6.0	15348.0	6727.0	0.0	908.0	7360.0	818.0	0.0	1.0	2112.0	64817.0	7.0	3854.0	309.0	9.0	11668.0	28.0	53.0	3.0	16250.0	18.0	314.0	31.0	193678.0	198988.0	0.0	9286.0	690.0	1.0	7.0	3270.0	9.0	155.0	2.0	0.0	13.0	0.0	6131.0	1023.0	5025.0	2.0	1730.0	2784.0	0.0	11.0	289.0	0.0	9325.0	1.0	102.0	2987.0	6972.0	1256.0	7297.0	1841.0	8.0	963.0	0.0	117489.0	31579.0	135093.0	1.0	946.0	1.0
OTU2	0.0	70375.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	10.0	7.0	1.0	0.0	0.0	1.0	6.0	4.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	4198.0	2.0	0.0	8.0	6.0	0.0	76300.0	0.0	0.0	8.0	2.0	81188.0	9.0	3.0	0.0	6.0	0.0	0.0	1.0	0.0	33129.0	152.0	92.0	1.0	35165.0	0.0	5902.0	8.0	2.0	0.0	6.0	3370.0	0.0	0.0	0.0	0.0	7.0	23371.0	2.0	1.0	5.0	5.0	839.0	4.0	14702.0	1207.0	97.0	1.0	10.0	0.0	1.0	1.0	0.0
OTU4	0.0	4.0	0.0	130.0	1.0	2041.0	675.0	1.0	33.0	125.0	0.0	15375.0	2803.0	3587.0	2298.0	3586.0	0.0	1.0	20142.0	5814.0	0.0	744.0	139.0	664.0	0.0	0.0	4473.0	1.0	0.0	2227.0	13.0	6119.0	14596.0	33.0	8.0	440.0	2.0	5760.0	236.0	5.0	4.0	2.0	1.0	11849.0	0.0	0.0	7029.0	7363.0	1.0	1362.0	0.0	0.0	1.0	0.0	3317.0	4.0	2120.0	0.0	1613.0	9973.0	0.0	22.0	850.0	0.0	10430.0	1.0	0.0	119.0	2466.0	16057.0	7605.0	1.0	1.0	4969.0	0.0	2.0	24546.0	2.0	13.0	1.0	177.0
OTU3	0.0	11.0	97.0	0.0	31630.0	27.0	0.0	0.0	21.0	95.0	53.0	31.0	18.0	5.0	6.0	0.0	105.0	49.0	7.0	7.0	1662.0	31.0	25.0	0.0	2657.0	66.0	0.0	116.0	115.0	0.0	320.0	4.0	7.0	110.0	9.0	67.0	1.0	3.0	47.0	15.0	6.0	4.0	0.0	5.0	42277.0	4.0	35.0	2.0	47.0	0.0	38.0	30.0	3.0	50.0	5.0	66494.0	2.0	37.0	1.0	6.0	0.0	40.0	23.0	59.0	1.0	0.0	220.0	6.0	2.0	2.0	21.0	53050.0	55.0	1.0	129.0	2.0	11.0	3.0	58.0	21.0	111.0
OTU7	0.0	2.0	0.0	1372.0	1.0	2695.0	2675.0	0.0	793.0	383.0	0.0	6022.0	16847.0	11989.0	4958.0	4327.0	0.0	1.0	15634.0	7672.0	1.0	4937.0	897.0	211.0	1.0	1.0	3146.0	1.0	2.0	4464.0	1.0	11159.0	6878.0	107.0	6.0	762.0	1.0	6467.0	884.0	11.0	3.0	2.0	2.0	4959.0	0.0	0.0	3902.0	4373.0	3.0	83.0	2.0	0.0	1.0	0.0	374.0	4.0	3896.0	0.0	8462.0	1360.0	0.0	58.0	171.0	0.0	7829.0	0.0	468.0	315.0	4313.0	1749.0	5977.0	0.0	0.0	675.0	0.0	4.0	16787.0	2.0	35.0	223.0	607.0
OTU5	0.0	15.0	0.0	291.0	3.0	2463.0	1710.0	0.0	969.0	510.0	36.0	2938.0	704.0	1714.0	5733.0	1018.0	0.0	0.0	7900.0	2869.0	0.0	4131.0	569.0	2875.0	27.0	0.0	1317.0	4.0	1.0	5883.0	0.0	1814.0	3303.0	37.0	17.0	117.0	2.0	1883.0	625.0	22.0	8.0	6.0	0.0	2579.0	0.0	0.0	1381.0	1830.0	2.0	2241.0	0.0	0.0	6.0	0.0	2403.0	8.0	5889.0	2.0	6184.0	9100.0	0.0	524.0	169.0	0.0	3332.0	2.0	517.0	49.0	6300.0	2799.0	7874.0	0.0	1.0	5707.0	1.0	1.0	7595.0	4.0	33.0	135.0	0.0
OTU6	55.0	146.0	0.0	0.0	67.0	6034.0	1425.0	0.0	10539.0	13231.0	13183.0	21.0	9.0	4.0	6.0	3.0	0.0	1.0	7.0	4.0	0.0	3528.0	6340.0	0.0	20174.0	1.0	3.0	0.0	1496.0	3.0	890.0	2.0	6.0	522.0	170.0	6098.0	7.0	6.0	497.0	1256.0	17.0	36.0	577.0	6.0	82.0	0.0	2.0	3.0	75.0	0.0	15030.0	2301.0	2.0	0.0	5.0	87.0	1.0	0.0	2471.0	28.0	0.0	6684.0	0.0	0.0	2.0	64.0	10612.0	3091.0	3.0	12.0	8.0	104.0	12451.0	8.0	10624.0	77.0	15.0	23.0	885.0	5901.0	1766.0
OTU8	0.0	6.0	0.0	1036.0	0.0	3996.0	2339.0	1.0	1994.0	712.0	1.0	3.0	641.0	14.0	11394.0	0.0	0.0	0.0	4658.0	6469.0	0.0	5981.0	1012.0	707.0	0.0	0.0	1240.0	1.0	1.0	12379.0	100.0	5.0	6420.0	14.0	17.0	3.0	0.0	3.0	661.0	11.0	4.0	1.0	68.0	5318.0	2.0	0.0	4.0	1847.0	2.0	235.0	0.0	0.0	1.0	1.0	769.0	3.0	10419.0	0.0	10687.0	4883.0	0.0	382.0	35.0	0.0	5632.0	1.0	848.0	116.0	11550.0	1396.0	3033.0	3.0	1.0	2204.0	1.0	1.0	5627.0	2.0	1.0	377.0	0.0
OTU11	0.0	0.0	0.0	350.0	0.0	612.0	210.0	0.0	27.0	0.0	1.0	9893.0	5391.0	11277.0	1396.0	5937.0	0.0	0.0	1641.0	2492.0	0.0	437.0	15.0	118.0	0.0	0.0	413.0	2.0	0.0	1008.0	1.0	13204.0	1352.0	0.0	1.0	0.0	0.0	8140.0	161.0	3.0	1.0	0.0	0.0	1779.0	0.0	0.0	5433.0	635.0	1.0	129.0	0.0	0.0	1.0	0.0	4270.0	2.0	803.0	0.0	802.0	1888.0	0.0	9.0	133.0	0.0	2644.0	0.0	0.0	3.0	1042.0	1995.0	1125.0	0.0	1.0	1042.0	0.0	0.0	1965.0	1.0	6.0	7.0	1.0
OTU12	0.0	3.0	0.0	114.0	2.0	3254.0	2359.0	0.0	502.0	230.0	25.0	4969.0	902.0	2448.0	3157.0	1783.0	0.0	0.0	3458.0	4733.0	0.0	4278.0	745.0	1193.0	0.0	0.0	526.0	2.0	0.0	3755.0	0.0	2826.0	6305.0	0.0	5.0	81.0	0.0	3581.0	1046.0	3.0	6.0	1.0	0.0	4140.0	0.0	0.0	7437.0	728.0	1.0	269.0	0.0	0.0	1.0	0.0	656.0	4.0	3313.0	1.0	6462.0	1677.0	0.0	162.0	1018.0	1.0	5078.0	0.0	153.0	99.0	4204.0	4148.0	2439.0	2.0	1.0	1150.0	0.0	0.0	4527.0	2.0	0.0	240.0	2.0
OTU10	0.0	0.0	0.0	1845.0	0.0	1127.0	800.0	1.0	896.0	237.0	20.0	4033.0	765.0	6539.0	7220.0	2530.0	0.0	0.0	562.0	3158.0	0.0	1672.0	250.0	403.0	0.0	0.0	127.0	0.0	0.0	5356.0	40.0	6507.0	2422.0	0.0	7.0	2.0	1.0	4073.0	381.0	5.0	4.0	2.0	0.0	1851.0	0.0	0.0	2817.0	182.0	0.0	64.0	0.0	0.0	2.0	0.0	789.0	6.0	4743.0	0.0	2198.0	1306.0	0.0	195.0	74.0	0.0	3513.0	0.0	171.0	140.0	6118.0	870.0	665.0	2.0	2.0	583.0	0.0	0.0	572.0	1.0	12.0	95.0	0.0
OTU14	0.0	3.0	0.0	213.0	0.0	1443.0	1019.0	0.0	338.0	256.0	18.0	4794.0	5755.0	6926.0	1472.0	3426.0	0.0	0.0	5504.0	1077.0	0.0	2118.0	136.0	177.0	0.0	0.0	1334.0	0.0	0.0	1520.0	52.0	6040.0	1268.0	47.0	9.0	1.0	0.0	5304.0	434.0	5.0	6.0	1.0	0.0	943.0	0.0	0.0	3415.0	2108.0	0.0	69.0	0.0	1.0	3.0	0.0	266.0	2.0	1183.0	0.0	2263.0	378.0	14.0	153.0	225.0	0.0	1061.0	0.0	1.0	63.0	1739.0	471.0	2655.0	0.0	3.0	252.0	1.0	1.0	7924.0	0.0	30.0	39.0	1.0
OTU9	0.0	346.0	983.0	155.0	306.0	330.0	67.0	199.0	9062.0	10434.0	117.0	2.0	163.0	8.0	181.0	2.0	0.0	26429.0	120.0	28.0	540.0	128.0	167.0	616.0	172.0	60.0	25.0	6823.0	5906.0	191.0	2357.0	6.0	75.0	1347.0	88.0	1761.0	53.0	8.0	993.0	238.0	83.0	137.0	8397.0	40.0	608.0	8651.0	10.0	9.0	1040.0	396.0	396.0	81.0	17.0	14.0	694.0	1087.0	258.0	367.0	395.0	101.0	54.0	1692.0	35.0	2496.0	31.0	51.0	3685.0	779.0	143.0	40.0	120.0	611.0	728.0	62.0	2137.0	125.0	60.0	103.0	457.0	105.0	536.0
